Method=GET 
 Url=/auth 
 Time=2026-05-24T08:27:41.372Z

Method=GET 	 Url=/users 	 Time=2026-05-24T08:28:13.925Z
Method=POST 	 Url=/api/auth/signUp 	 Time=2026-05-24T10:24:53.933Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:25:02.896Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:25:04.878Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:25:06.816Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:25:08.938Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:25:34.118Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:25:36.361Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:25:38.144Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:25:39.697Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:25:41.218Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:26:01.147Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:26:03.263Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:26:05.621Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:26:07.168Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:26:11.035Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:26:13.358Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:26:49.788Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:27:40.882Z

Method=POST 	 Url=/api/auth/logIn 	 Time=2026-05-24T10:27:42.452Z

Method=GET 	 Url=/ 	 Time=2026-05-24T11:50:21.355Z

Method=GET 	 Url=/favicon.ico 	 Time=2026-05-24T11:50:21.397Z

Method=GET 	 Url=/ 	 Time=2026-05-24T11:50:31.779Z

Method=GET 	 Url=/ 	 Time=2026-05-24T11:50:37.160Z

Method=GET 	 Url=/api/issues 	 Time=2026-05-24T11:50:56.884Z

Method=GET 	 Url=/api/issues 	 Time=2026-05-24T11:51:01.927Z

Method=GET 	 Url=/api/issues 	 Time=2026-05-24T11:51:04.295Z

Method=GET 	 Url=/api/issues 	 Time=2026-05-24T11:51:06.650Z

Method=GET 	 Url=/api/issues 	 Time=2026-05-24T11:51:09.072Z

Method=POST 	 Url=/api/auth 	 Time=2026-05-24T11:51:19.527Z

Method=POST 	 Url=/api/auth 	 Time=2026-05-24T11:51:21.229Z

Method=POST 	 Url=/api/issues 	 Time=2026-05-26T09:54:03.207Z

Method=POST 	 Url=/api/issues 	 Time=2026-05-26T09:54:20.359Z

Method=POST 	 Url=/api/auth/login 	 Time=2026-05-26T09:54:40.605Z

Method=POST 	 Url=/api/issues 	 Time=2026-05-26T09:55:32.035Z

Method=POST 	 Url=/api/issues 	 Time=2026-05-26T10:08:54.322Z

Method=POST 	 Url=/api/issues 	 Time=2026-05-26T10:51:49.953Z

Method=POST 	 Url=/api/issues 	 Time=2026-05-26T10:57:25.205Z

Method=POST 	 Url=/api/issues 	 Time=2026-05-26T11:41:43.925Z
